"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"51","Sadly, there can be no REAL Border Security without the Wall!",FALSE,156276,NA,2019-01-03 04:09:52,FALSE,NA,"1080677601046347777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",31384,FALSE,FALSE,NA,NA
"52","...I remain ready and willing to work with Democrats to pass a bill that secures our borders, supports the agents a… https://t.co/Y79slNjE3k",FALSE,103307,"realDonaldTrump",2019-01-03 00:07:38,TRUE,"1080616636363743234","1080616637932421121","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21855,FALSE,FALSE,NA,NA
"53","Important meeting today on Border Security with Republican and Democrat Leaders in Congress. Both parties must work… https://t.co/BzmCfiecqh",FALSE,115637,NA,2019-01-03 00:07:37,TRUE,NA,"1080616636363743234",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23363,FALSE,FALSE,NA,NA
"54","Mexico is paying for the Wall through the new USMCA Trade Deal. Much of the Wall has already been fully renovated o… https://t.co/GX0AhEMEBE",FALSE,128796,NA,2019-01-02 13:35:30,TRUE,NA,"1080457560291987457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28821,FALSE,FALSE,NA,NA
"55","Here we go with Mitt Romney, but so fast! Question will be, is he a Flake?  I hope not. Would much prefer that Mitt… https://t.co/pPdZY29V92",FALSE,176212,NA,2019-01-02 12:53:55,TRUE,NA,"1080447092882112512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",37216,FALSE,FALSE,NA,NA
"56","For FAR TOO LONG Senate Democrats have been Obstructing more than 350 Nominations. These great Americans left their… https://t.co/P8TbMNTjtb",FALSE,127753,NA,2019-01-02 00:43:50,TRUE,NA,"1080263362183917568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",32277,FALSE,FALSE,NA,NA
"57","Do you think it’s just luck that gas prices are so low, and falling? Low gas prices are like another Tax Cut!",FALSE,161311,NA,2019-01-01 23:39:32,FALSE,NA,"1080247182186430465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",30576,FALSE,FALSE,NA,NA
"58","“Kim Jong Un says North Korea will not make or test nuclear weapons, or give them to others - &amp; he is ready to meet… https://t.co/skE5eJpEtE",FALSE,116757,NA,2019-01-01 23:11:12,TRUE,NA,"1080240049780940800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24989,FALSE,FALSE,NA,NA
"59","Washington Examiner - “MAGA list: 205 ‘historic results’ help Trump make case for 2020 re-election.”  True!",FALSE,77927,NA,2019-01-01 22:51:12,FALSE,NA,"1080235018310635521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17355,FALSE,FALSE,NA,NA
"60","Gas prices are low and expected to go down this year. This would be good!",FALSE,202422,NA,2019-01-01 22:44:03,FALSE,NA,"1080233215615557632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",30357,FALSE,FALSE,NA,NA
